OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3637647,346,Thamachit,Rasuwa,1054,1986,12,19,0
3637648,346,Thamachit,Rasuwa,1054,1986,12,20,0
3637649,346,Thamachit,Rasuwa,1054,1986,12,21,0
3637650,346,Thamachit,Rasuwa,1054,1986,12,22,0
3637651,346,Thamachit,Rasuwa,1054,1986,12,23,0
3637652,346,Thamachit,Rasuwa,1054,1986,12,24,0
3637653,346,Thamachit,Rasuwa,1054,1986,12,25,0
3637654,346,Thamachit,Rasuwa,1054,1986,12,26,0
3637655,346,Thamachit,Rasuwa,1054,1986,12,27,0
3637656,346,Thamachit,Rasuwa,1054,1986,12,28,0
3637657,346,Thamachit,Rasuwa,1054,1986,12,29,0
3637658,346,Thamachit,Rasuwa,1054,1986,12,30,0
3637659,346,Thamachit,Rasuwa,1054,1986,12,31,0
3637660,346,Thamachit,Rasuwa,1054,1987,1,1,0
3637661,346,Thamachit,Rasuwa,1054,1987,1,2,0
3637662,346,Thamachit,Rasuwa,1054,1987,1,3,0
3637663,346,Thamachit,Rasuwa,1054,1987,1,4,0
3637664,346,Thamachit,Rasuwa,1054,1987,1,5,0
3637665,346,Thamachit,Rasuwa,1054,1987,1,6,0
3637666,346,Thamachit,Rasuwa,1054,1987,1,7,0
3637667,346,Thamachit,Rasuwa,1054,1987,1,8,0
3637668,346,Thamachit,Rasuwa,1054,1987,1,9,0
3637669,346,Thamachit,Rasuwa,1054,1987,1,10,0
3637670,346,Thamachit,Rasuwa,1054,1987,1,11,0
3637671,346,Thamachit,Rasuwa,1054,1987,1,12,0
3637672,346,Thamachit,Rasuwa,1054,1987,1,13,0
3637673,346,Thamachit,Rasuwa,1054,1987,1,14,0
3637674,346,Thamachit,Rasuwa,1054,1987,1,15,0
3637675,346,Thamachit,Rasuwa,1054,1987,1,16,0
3637676,346,Thamachit,Rasuwa,1054,1987,1,17,0
3637677,346,Thamachit,Rasuwa,1054,1987,1,18,0
3637678,346,Thamachit,Rasuwa,1054,1987,1,19,0
3637679,346,Thamachit,Rasuwa,1054,1987,1,20,0
3637680,346,Thamachit,Rasuwa,1054,1987,1,21,0
3637681,346,Thamachit,Rasuwa,1054,1987,1,22,0
3637682,346,Thamachit,Rasuwa,1054,1987,1,23,0
3637683,346,Thamachit,Rasuwa,1054,1987,1,24,0
3637684,346,Thamachit,Rasuwa,1054,1987,1,25,0
3637685,346,Thamachit,Rasuwa,1054,1987,1,26,0
