OBJECTID,gsid,formal_name,district,station_id,year,month,days,maxtemp
917598,363,Paigutang,Rasuwa,1072,1990,8,8,0
917599,363,Paigutang,Rasuwa,1072,1990,8,9,0
917600,363,Paigutang,Rasuwa,1072,1990,8,10,0
917601,363,Paigutang,Rasuwa,1072,1990,8,11,0
917602,363,Paigutang,Rasuwa,1072,1990,8,12,0
917603,363,Paigutang,Rasuwa,1072,1990,8,13,0
917604,363,Paigutang,Rasuwa,1072,1990,8,14,0
917605,363,Paigutang,Rasuwa,1072,1990,8,15,0
917606,363,Paigutang,Rasuwa,1072,1990,8,16,0
917607,363,Paigutang,Rasuwa,1072,1990,8,17,0
917608,363,Paigutang,Rasuwa,1072,1990,8,18,0
917609,363,Paigutang,Rasuwa,1072,1990,8,19,0
917610,363,Paigutang,Rasuwa,1072,1990,8,20,0
917611,363,Paigutang,Rasuwa,1072,1990,8,21,0
917612,363,Paigutang,Rasuwa,1072,1990,8,22,0
917613,363,Paigutang,Rasuwa,1072,1990,8,23,0
917614,363,Paigutang,Rasuwa,1072,1990,8,24,0
917615,363,Paigutang,Rasuwa,1072,1990,8,25,0
917616,363,Paigutang,Rasuwa,1072,1990,8,26,0
917617,363,Paigutang,Rasuwa,1072,1990,8,27,0
917618,363,Paigutang,Rasuwa,1072,1990,8,28,0
917619,363,Paigutang,Rasuwa,1072,1990,8,29,0
917620,363,Paigutang,Rasuwa,1072,1990,8,30,0
917621,363,Paigutang,Rasuwa,1072,1990,8,31,0
917622,363,Paigutang,Rasuwa,1072,1990,9,1,0
917623,363,Paigutang,Rasuwa,1072,1990,9,2,0
917624,363,Paigutang,Rasuwa,1072,1990,9,3,0
917625,363,Paigutang,Rasuwa,1072,1990,9,4,0
917626,363,Paigutang,Rasuwa,1072,1990,9,5,0
917627,363,Paigutang,Rasuwa,1072,1990,9,6,0
917628,363,Paigutang,Rasuwa,1072,1990,9,7,0
917629,363,Paigutang,Rasuwa,1072,1990,9,8,0
917630,363,Paigutang,Rasuwa,1072,1990,9,9,0
917631,363,Paigutang,Rasuwa,1072,1990,9,10,0
917632,363,Paigutang,Rasuwa,1072,1990,9,11,0
917633,363,Paigutang,Rasuwa,1072,1990,9,12,0
917634,363,Paigutang,Rasuwa,1072,1990,9,13,0
917635,363,Paigutang,Rasuwa,1072,1990,9,14,11
917636,363,Paigutang,Rasuwa,1072,1990,9,15,11.5
917637,363,Paigutang,Rasuwa,1072,1990,9,16,11
917638,363,Paigutang,Rasuwa,1072,1990,9,17,10.7
917639,363,Paigutang,Rasuwa,1072,1990,9,18,9
917640,363,Paigutang,Rasuwa,1072,1990,9,19,10
917641,363,Paigutang,Rasuwa,1072,1990,9,20,10
917642,363,Paigutang,Rasuwa,1072,1990,9,21,10
917643,363,Paigutang,Rasuwa,1072,1990,9,22,6
917644,363,Paigutang,Rasuwa,1072,1990,9,23,8
917645,363,Paigutang,Rasuwa,1072,1990,9,24,7
917646,363,Paigutang,Rasuwa,1072,1990,9,25,7.5
917647,363,Paigutang,Rasuwa,1072,1990,9,26,9
917648,363,Paigutang,Rasuwa,1072,1990,9,27,7.5
917649,363,Paigutang,Rasuwa,1072,1990,9,28,9
917650,363,Paigutang,Rasuwa,1072,1990,9,29,9.5
917651,363,Paigutang,Rasuwa,1072,1990,9,30,9.5
